GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.teamx.demo.service,TeamService,11,13,0,0,2,3,2,3,2,3
demo,com.teamx.demo.service,PointRecordService,16,7,0,0,4,2,3,2,3,2
demo,com.teamx.demo.service,PlayerService,5,13,0,0,1,3,1,3,1,3
demo,com.teamx.demo.service,ContestService,105,7,16,0,24,2,12,2,4,2
demo,com.teamx.demo.service,LoginService,19,23,4,0,4,6,3,5,1,5
demo,com.teamx.demo.controller,PlayerController,5,13,0,0,1,3,1,3,1,3
demo,com.teamx.demo.controller,LoginController,35,206,7,9,7,50,7,9,0,8
demo,com.teamx.demo.controller,PointRecordController,32,7,0,0,8,2,4,2,4,2
demo,com.teamx.demo.controller,MongoPingController,8,32,5,3,1,7,4,2,0,2
demo,com.teamx.demo.controller,TeamController,110,19,8,0,24,5,8,3,4,3
demo,com.teamx.demo.controller,ContestController,52,7,0,0,12,2,4,2,4,2
demo,com.teamx.demo.model,Contest,8,9,0,0,4,3,2,3,2,3
demo,com.teamx.demo.model,LoginModel,21,48,0,0,7,21,1,13,1,13
demo,com.teamx.demo.model,PointRecord.Point,8,9,0,0,2,3,2,3,2,3
demo,com.teamx.demo.model,PointRecord,12,12,0,0,3,4,3,4,3,4
demo,com.teamx.demo.model,Team,62,0,0,0,26,0,13,0,13,0
demo,com.teamx.demo.model,Contest.ContestData,72,57,0,0,36,20,18,19,18,19
demo,com.teamx.demo.model,Contest.ContestData.TeamInfo,12,12,0,0,6,4,3,4,3,4
demo,com.teamx.demo.model,ContestWithTeams,26,0,0,0,12,0,6,0,6,0
demo,com.teamx.demo.model,Player,66,0,0,0,27,0,19,0,19,0
demo,com.teamx.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.teamx.demo.utils,JwtUtil,3,24,0,0,1,7,1,2,1,2
